title,genres,description,language,year,combined,poster_url
3 Idiots,"Comedy, Drama",Two friends search for their lost companion and revisit their college memories.,Hindi,2009,"3 Idiots Two friends search for their lost companion and revisit their college memories. Comedy, Drama",https://image.tmdb.org/t/p/w342/66A9MqXOyVFCssoloscw79z8Tew.jpg
Dangal,"Drama, Sport",A father trains his daughters to become world-class wrestlers.,Hindi,2016,"Dangal A father trains his daughters to become world-class wrestlers. Drama, Sport",https://image.tmdb.org/t/p/w342/cJRPOLEexI7qp2DKtFfCh7YaaUG.jpg
PK,"Comedy, Drama",An alien lands on Earth and questions societal norms.,Hindi,2014,"PK An alien lands on Earth and questions societal norms. Comedy, Drama",https://image.tmdb.org/t/p/w342/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg
Chennai Express,"Action, Comedy",A man's journey to reunite with his lover in South India.,Hindi,2013,"Chennai Express A man's journey to reunite with his lover in South India. Action, Comedy",https://image.tmdb.org/t/p/w342/9j7XfhBJKNfidMCa8JsNbqU1waV.jpg
Kabir Singh,"Romance, Drama",A surgeon turns self-destructive after heartbreak.,Hindi,2019,"Kabir Singh A surgeon turns self-destructive after heartbreak. Romance, Drama",https://image.tmdb.org/t/p/w342/unqiPjtc6CGqs13zho7ZvWU85zu.jpg
Sanju,"Biography, Drama",The life journey of actor Sanjay Dutt.,Hindi,2018,"Sanju The life journey of actor Sanjay Dutt. Biography, Drama",https://image.tmdb.org/t/p/w342/q1wkN4VQuBTj1AeyTLLz2w6awMA.jpg
Bajrangi Bhaijaan,"Drama, Adventure",A devotee helps a lost girl return to Pakistan.,Hindi,2015,"Bajrangi Bhaijaan A devotee helps a lost girl return to Pakistan. Drama, Adventure",https://image.tmdb.org/t/p/w342/vhlliI7HZZlWfo5d6CiyfBAGLrW.jpg
Airlift,"Thriller, Drama",A businessman rescues Indians stranded in Kuwait.,Hindi,2016,"Airlift A businessman rescues Indians stranded in Kuwait. Thriller, Drama",https://image.tmdb.org/t/p/w342/oyaxIm3kTWDQtcYQ45eN5sZ6WIz.jpg
Bang Bang,"Action, Thriller",A spy embarks on a deadly mission.,Hindi,2014,"Bang Bang A spy embarks on a deadly mission. Action, Thriller",https://image.tmdb.org/t/p/w342/6ukTOJ3VNqrR0un8nolKoIlgn1V.jpg
War,"Action, Thriller",Two elite spies turn against each other.,Hindi,2019,"War Two elite spies turn against each other. Action, Thriller",https://image.tmdb.org/t/p/w342/yUtaHkL2SDIAZhRApZAyQrAXygn.jpg
Drishyam,"Crime, Drama",A man uses clever tricks to protect his family.,Hindi,2015,"Drishyam A man uses clever tricks to protect his family. Crime, Drama",https://image.tmdb.org/t/p/w342/gIClWRv5OSe8rl5Koi0AeUcCZ9Z.jpg
RRR,"Action, Drama",Two revolutionaries fight British rule.,Hindi,2022,"RRR Two revolutionaries fight British rule. Action, Drama",https://image.tmdb.org/t/p/w342/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg
KGF Chapter 1,"Action, Thriller",A man becomes a feared underworld king.,Hindi,2018,"KGF Chapter 1 A man becomes a feared underworld king. Action, Thriller",https://image.tmdb.org/t/p/w342/ltHlJwvxKv7d0ooCiKSAvfwV9tX.jpg
KGF Chapter 2,"Action, Thriller",The rise of Rocky as the king of Kolar Gold Fields.,Hindi,2022,"KGF Chapter 2 The rise of Rocky as the king of Kolar Gold Fields. Action, Thriller",https://image.tmdb.org/t/p/w342/khNVygolU0TxLIDWff5tQlAhZ23.jpg
Padmaavat,"Drama, History",A queen fights to protect her honor.,Hindi,2018,"Padmaavat A queen fights to protect her honor. Drama, History",https://image.tmdb.org/t/p/w342/5kk71s8Vmvt8XQOojevhTA5QcB0.jpg
Baahubali,"Action, Fantasy",A prince rises to reclaim his kingdom.,Hindi,2015,"Baahubali A prince rises to reclaim his kingdom. Action, Fantasy",https://image.tmdb.org/t/p/w342/9BAjt8nSSms62uOVYn1t3C3dVto.jpg
Baahubali 2,"Action, Fantasy",The conclusion of the Baahubali saga.,Hindi,2017,"Baahubali 2 The conclusion of the Baahubali saga. Action, Fantasy",https://image.tmdb.org/t/p/w342/xQ22LOWSkClP3maYhR9nZH0dnWM.jpg
Jab We Met,"Romance, Drama",Two strangers fall in love during a journey.,Hindi,2007,"Jab We Met Two strangers fall in love during a journey. Romance, Drama",https://image.tmdb.org/t/p/w342/iqiH6vnoEgjAypKsuIScN7JlE2j.jpg
Rockstar,"Drama, Music",A musician struggles with love and fame.,Hindi,2011,"Rockstar A musician struggles with love and fame. Drama, Music",https://image.tmdb.org/t/p/w342/cJZC9riwrdATBUonkZJZD6y9g40.jpg
Barfi!,"Comedy, Drama",A mute boy forms deep connections despite challenges.,Hindi,2012,"Barfi! A mute boy forms deep connections despite challenges. Comedy, Drama",https://image.tmdb.org/t/p/w342/5cJIx2zKjDoUtPSliou23xsReb1.jpg
